id,name,university,platform,description,website,certificate,date,image_url,project,other
16,The Science of Happiness,"University of California, Berkeley",edX,"In this course, students will engage with some of the most provocative and practical lessons from this science, discovering how to apply key insights from cutting-edge research to their own lives.",https://www.edx.org/course/science-happiness-uc-berkeleyx-gg101x,https://s3.amazonaws.com/verify.edx.org/downloads/98a5880c3c444fa486b3ef142bbdb1e1/Certificate.pdf,May 2015,https://www.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/gg101x_course_banner378x225.jpg?itok=dLxbx0fU,,
17,YouTube Secrets,Alun Hill,Udemy,"Start making money, with no outlay and no experience whatsoever, immediately.",https://www.udemy.com/youtube-secrets,https://www.udemy.com/certificate/UC-NEHADJDC/,May 2015,http://best-course-online.com/wp-content/uploads/184670-udemy-youtube-secrets-your-thumbnails-and-graphics-are-crucial.jpg,,
18,High-Impact Business Writing,"University of California, Irvine",Coursera,Effective writing is a powerful tool in the business environment. Learn how to articulate your thoughts in a clear and concise manner that will allow your ideas to be better understood by your readers.,https://www.coursera.org/learn/business-writingx,http://psurya.com/certificates/hibw.jpg,June 2015,https://coursera-course-photos.s3.amazonaws.com/42/e6da0049ae11e49e1bf15ddbcff4cf/Busuness-Writing-Course.jpg,,
19,Project Management Basics,"University of California, Irvine",Coursera,This course combines the essential elements of Project Management and Team Leadership into one course. ,https://www.coursera.org/learn/business-writingx,http://psurya.com/certificates/pm.jpg,June 2015,https://coursera-course-photos.s3.amazonaws.com/c7/4a9b1049ae11e4bc80b986c176101c/Project-Management-Course.jpg,,
20,Making Sense of News,The University of Hong Kong,edX,"Learn essential, critical thinking skills in the age of social media to effectively navigate and make sense of news.",https://www.edx.org/course/making-sense-news-hkux-hku04x,https://s3.amazonaws.com/verify.edx.org/downloads/aa14c0d94b9946d38dc76034ddd135f2/Certificate.pdf,June 2015,https://www.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/making-sense-of-news_378x225.jpg?itok=B9DwN-cp,,
21,Cosmology,Australian National University,edX,This course covers cosmology- the study of our entire universe. Where did the universe come from? How will it end? What is the nature of space and time? ,https://www.edx.org/course/cosmology-anux-anu-astro4x,https://s3.amazonaws.com/verify.edx.org/downloads/aa14c0d94b9946d38dc76034ddd135f2/Certificate.pdf,July 2015,https://www.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/cosmology_378x225.jpg?itok=sDG-TLnU,,
22,The Business of Mining,Curtin University,edX,"Learn the theory behind running a mine and see if you've got what it takes to explore, plan, operate and close a mining operation.",https://www.edx.org/course/business-mining-curtinx-tbomx,https://s3.amazonaws.com/verify.edx.org/downloads/e471f5dc6f7c433f830a9e43fcc60de4/Certificate.pdf,July 2015,https://www.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/tbomx-the_business_of_mining-course_image-378x225.png?itok=qCdFGSWg,,
23,Becoming a Resilient Person,University of Washington,edX,This course gives you the permission to take care of yourself by learning the skills to manage stress and optimize wellbeing.,https://www.edx.org/course/becoming-resilient-person-science-stress-uwashingtonx-ecfs311x-0,http://psurya.com/certificates/brp.JPG,July 2015,https://www.edx.org/sites/default/files/course/image/promoted/resilience-378-225.jpg,,
24,Electronics Interfaces,"University of California, Berkeley",edX,"Learn by doing: analyze, design, and build electronic interfaces between sensors and a microcontroller to build a robot or your own creation in this hands-on lab course. ",https://www.edx.org/course/electronic-interfaces-bridging-physical-uc-berkeleyx-ee40lx-0,https://s3.amazonaws.com/verify.edx.org/downloads/9e058b7132a746099bc78d733c83e8be/Certificate.pdf,July 2015,https://webview.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/berkeleyxee40lx-378x225.jpg?itok=7OzsNvN5,,
25,Making Sense of Climate Science Denial,The University of Queensland,edX,"Climate change is real, so why the controversy and debate? Learn to make sense of the science and to respond to climate change denial. ",https://www.edx.org/course/making-sense-climate-science-denial-uqx-denial101x-0,https://s3.amazonaws.com/verify.edx.org/downloads/9934e4974adc4a9abc2c12caa84505cc/Certificate.pdf,July 2015,https://webview.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/making_sense_of_climate_science_denial_378x225.jpg?itok=hjAybixH,,
